id;marca;modelo;color;precio;numero_serie;transpuesto
1;Morado;indexing Montserrat Raton;Rojo;65678;24634;Técnico
2;portal;SMS Account artificial;Negro;84987;48929;Account Exclusivo Ladrillo
3;de visionary;Senior;Amarillo;70472;15858;contingencia
4;viral frictionless;Patatas Irak;Morado;51710;34977;Decoración transmitting Djibouti
5;Aldea IB;granular definición optical;Violeta;86251;75232;Borders Configurable deposit
6;Suecia transmit Interno;Personal Distrito;Violeta;69064;96636;Director Agente
7;Navarra quantify;Acero Borders eyeballs;Blanco;17435;66373;mano
8;virtual Configurable;País protocol Amigable;Verde;83608;91395;Guantes Deportes deposit
9;Respuesta Paseo Moda;Operaciones Coche;Amarillo;91572;86251;Madera
10;Dram payment programming;virtual Andalucía;Rojo;27160;97984;evolve reboot
